44,['skal', 'motorcyklen', 'kåre']
18,['drs', 'julekalender', 'pagten']
46,['samarbejde', 'om', 'at']
46,['føde', 'bog', 'boge']
22,['og', 'på', 'svamp']
47,['af', 'udbredelse', 'dermed']
54,['og', 'klaus', 'thrane']
28,['har', 'domstol', 'vejet']
47,['frejlev', 'frejleve', 'damgaard']
78,['forhandling', 'middel', 'ved']
46,['paaske', 'jørgen', 'to']
52,['lokalpolitiker', 'for', 'skal']
62,['dyr', 'væk', 'dy']
6,['kfum', 'spejder', 'hvor']
76,['sælge', 'at', 'videre']
72,['direktør', 'på', 'administrere']
80,['rotte', 'var', 'en']
57,['der', 'vælte', 'rundt']
77,['johansson', 'fortryde', 'at']
54,['indsatsleder', 'jakobsen', 'oluf']
7,['frankrig', 'tyskland', 'igen']
60,['dubai', 'yem', 'i']
21,['land', 'banke', 'bank']
7,['region', 'og', 'nordjylland']
7,['libyen', 'bruxelles', 'demonstration']
70,['kirke', 'tornøe', 'sønderholm']
16,['yoga', 'er', 'meditation']
82,['det', 'ansvar', 'hel']
48,['bestyrelse', 'af', 'få']
37,['underholdning', 'al', 'er']
12,['aalborg', 'det', 'universitet']
54,['så', 'sted', 'derfor']
10,['it', 'børn', 'brønderslev']
42,['man', 'skov', 'i']
43,['end', 'elevere', 'elev']
17,['hurup', 'øster', 'vulcan']
14,['og', 'grønlandske', 'farvand']
36,['eller', 'praktikplads', 'få']
50,['hjemmeværn', 'for', 'regeringen']
81,['regionsråd', 'forretningsudvalg', 'er']
56,['sindal', 'til', 'flyveklub']
13,['point', 'og', 'pct']
36,['de', 'københavn', 'i']
37,['kirke', 'jesper', 'boel']
70,['samme', 'islam', 'religion']
30,['fratræde', 'ønske', 'inden']
56,['lejlighed', 'flere', 'slå']
57,['point', 'og', 'pct']
41,['v', 'brag', 'brage']
46,['debut', 'egen', 'galleri']
22,['barn', 'især', 'og']
76,['point', 'højere', 'pct']
64,['valgmøde', 'i']
14,['skou', 'steffen', 'pedersen']
23,['sanktionere', 'som', 'sanktion']
47,['og', 'barcelona', 'i']
36,['aaby', 'kirke', 'jeppes']
28,['chokolader', 'kroketter', 'østers']
38,['handicappe', 'handicappet', 'siger']
30,['til', 'ferie', 'bruge']
54,['bevidst', 'for', 'forsikring']
30,['inge', 'klarup', 'novembervej']
50,['horsens', 'lyngby', 'hellum']
40,['brovst', 'gudstjeneste', 'baptistkirken']
15,['minut', 'var', 'ti']
0,['digital', 'infrastruktur', 'ny']
16,['kime', 'wall', 'kim']
73,['af', 'bliver', 'weekend']
71,['turisme', 'og', 'i']
29,['erstatning', 'skal', 'om']
26,['the', 'dark', 'hampstead']
9,['lejlighed', 'flere', 'slå']
64,['stor', 'fly', 'forsvar']
28,['fund', 'finde', 'have']
5,['karlsen', 'manø', 'er']
76,['af', 'medlem', 'andersen']
68,['og', 'institution', 'selvejende']
67,['stramning', 'det', 'udlændingepolitiske']
58,['bedre', 'it', 'internet']
31,['gruppe', 'som', 'frivillig']
