18,['if', 'sundhedsvæsen', 'bk', 'brøndby', 'i', 'jeg', 'støvring', 'kunstboxen', 'gøttrup', 'mariager', 'søren', 'krone']
24,['manø', 'kommunaldirektør', 'karlsen', 'norwegian', 'besynderlig', 'læsø', 'evig', 'navn', 'lars', 'er', 'blue', 'måske']
46,['ren', 'hus', 'forrygende', 'i', 'jazze', 'skagen', 'christensen', 'ny', 'jazz', 'huse', 'peder']
64,['point', 'arbejdsmarked', 'pct', 'og', 'hun', 'buple', 'jervad', 'måtte', 'aggersund', 'på', 'under', 'biografere']
63,['vil', 'fremragende', 'den', 'der', 'indlægge', 'tjekkisk', 'intelligens', 'forfatte', 'indlæg', 'kønsskifte', 'kristendemokrat', 'nok']
75,['gave', 'christiansmindeskoven', 'en', 'til', 'kulturer', 'løgstør', 'fremme', 'mads', 'sanger', 'og', 'fremmed']
36,['kommune', 'skelund', 'jammerbugt', 'åben', 'i', 'som', 'stor', 'kampagne', 'styrte', 'jammerbugte']
67,['hel', 'himmelsk', 'bid', 'det', 'fremgang', 'hus', 'sæson', 'musisk', 'bide', 'og', 'aalborg', 'fortsætte']
65,['klitgaard', 'der', 'andersen', 'svinge', 'i', 'støvring', 'hansen', 'medlem', 'andrea', 'sving', 'egon', 'sofie']
56,['gregersen', 'netop', 'der', 'kombinere', 'christian', 'kaste', 'johansson', 'tidlig', 'julemarked', 'og', 'kast', 'bo']
35,['hip', 'til', 'det', 'verdenskendt', 'barn', 'israelske', 'maleri', 'evne', 'malene', 'male', 'embedsmand', 'yde']
17,['mande', 'mand', 'år', 'job', 'blev', 'jobbe', 'trak', 'pernille', 'nytte', 'mod', 'mathiesen', 'kniv']
31,['parti', 'bevares', 'til', 'øvrig', 'bakke', 'døhr', 'mads', 'joronen', 'bygning', 'nordkorea', 'gård']
19,['date', 'det', 'jamali', 'kvotekonge', 'to', 'politi', 'kontakte', 'udvisning', 'man', 'aalborg', 'fiskerierhvervet']
38,['forskning', 'blandt', 'det', 'handicappet', 'handicappe', 'byrådsmøde', 'træf', 'træffe', 'december', 'mere', 'og', 'konstituerende']
1,['flygtning', 'ahmad', 'noor', 'til', 'for', 'nem', 'fra', 'valg', 'men', 'ahmade']
29,['machell', 'kaspe', 'lauge', 'charlie', 'skagen', 'i', 'mensah', 'jakob', 'larsen', 'pedersen', 's']
66,['nissen', 'nisse', 'sjørring', 'i', 'trafik', 'offentlig', 'undersøgelse', 'kollektiv', 'offentligt', 'rumme', 'hundborg', 'bo']
26,['jørgen', 'land', 'boligforening', 'fra', 'med', 'fredensbo', 'besætte', 'friplejehjem', 'lande', 'er', 'ny', 'aagaard']
21,['sige', 'eggert', 'plejehjemsplads', 'med', 'tirsdag', 'landmand', 'lildstrand', 'er', 'anders', 'og', 'gammel', 'r']
